id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
8th Match (N),Mayank Agarwal ,Pandya,"['13', '19', '1', '0', '84.61']",Sunrisers Hyderabad,Mumbai Indians, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",11
8th Match (N),Travis Head ,Coetzee,"['24', '39', '9', '3', '258.33']",Sunrisers Hyderabad,Mumbai Indians, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",62
8th Match (N),Abhishek Sharma ,Chawla,"['23', '36', '3', '7', '273.91']",Sunrisers Hyderabad,Mumbai Indians, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",63
8th Match (N),Aiden Markram , - ,"['28', '59', '2', '1', '150.00']",Sunrisers Hyderabad,Mumbai Indians, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",42
8th Match (N),Heinrich Klaasen †, - ,"['34', '43', '4', '7', '235.29']",Sunrisers Hyderabad,Mumbai Indians, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",80
8th Match (N),Rohit Sharma ,Cummins,"['12', '20', '1', '3', '216.66']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",26
8th Match (N),Ishan Kishan †,Shahbaz Ahmed,"['13', '14', '2', '4', '261.53']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",34
8th Match (N),Naman Dhir ,Unadkat,"['14', '35', '2', '2', '214.28']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",30
8th Match (N),Tilak Varma ,Cummins,"['34', '49', '2', '6', '188.23']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",64
8th Match (N),Hardik Pandya (c),Unadkat,"['20', '40', '1', '1', '120.00']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",24
8th Match (N),Tim David , - ,"['22', '29', '2', '3', '190.90']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",42
8th Match (N),Romario Shepherd , - ,"['6', '7', '2', '1', '250.00']",Mumbai Indians,Sunrisers Hyderabad, March 27 2024, Hyderabad,SRH won by 31 runs,"Mumbai Indians, elected to field first",15
