id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
10th Match (N),Virat Kohli ,Harshit Rana,"['59', '89', '4', '4', '140.67']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",83
10th Match (N),Faf du Plessis (c),Russell,"['6', '10', '0', '1', '133.33']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",8
10th Match (N),Cameron Green ,Narine,"['21', '25', '4', '2', '157.14']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",33
10th Match (N),Glenn Maxwell ,Russell,"['19', '21', '3', '1', '147.36']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",28
10th Match (N),Rajat Patidar ,Harshit Rana,"['4', '10', '0', '0', '75.00']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",3
10th Match (N),Anuj Rawat †,run out (†Salt),"['3', '6', '0', '0', '100.00']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",3
10th Match (N),Dinesh Karthik , - ,"['8', '13', '0', '3', '250.00']",Royal Challengers Bengaluru,Kolkata Knight Riders, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",20
10th Match (N),Phil Salt †,Vyshak,"['20', '37', '2', '2', '150.00']",Kolkata Knight Riders,Royal Challengers Bengaluru, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",30
10th Match (N),Sunil Narine ,Dagar,"['22', '29', '2', '5', '213.63']",Kolkata Knight Riders,Royal Challengers Bengaluru, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",47
10th Match (N),Venkatesh Iyer ,Yash Dayal,"['30', '43', '3', '4', '166.66']",Kolkata Knight Riders,Royal Challengers Bengaluru, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",50
10th Match (N),Shreyas Iyer (c), - ,"['24', '43', '2', '2', '162.50']",Kolkata Knight Riders,Royal Challengers Bengaluru, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",39
10th Match (N),Rinku Singh , - ,"['5', '7', '0', '0', '100.00']",Kolkata Knight Riders,Royal Challengers Bengaluru, March 29 2024, Bengaluru,KKR won by 7 wickets (with 19 balls remaining),"Kolkata Knight Riders, elected to field first",5
