id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
6th Match (N),Shikhar Dhawan (c),Maxwell,"['37', '54', '5', '1', '121.62']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",45
6th Match (N),Jonny Bairstow ,Mohammed Siraj,"['6', '11', '2', '0', '133.33']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",8
6th Match (N),Prabhsimran Singh ,Maxwell,"['17', '26', '2', '2', '147.05']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",25
6th Match (N),Liam Livingstone ,Joseph,"['13', '13', '1', '1', '130.76']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",17
6th Match (N),Sam Curran ,Yash Dayal,"['17', '27', '3', '0', '135.29']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",23
6th Match (N),Jitesh Sharma †,Mohammed Siraj,"['20', '32', '1', '2', '135.00']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",27
6th Match (N),Shashank Singh , - ,"['8', '14', '1', '2', '262.50']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",21
6th Match (N),Harpreet Brar , - ,"['2', '7', '0', '0', '100.00']",Punjab Kings,Royal Challengers Bengaluru, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",2
6th Match (N),Virat Kohli ,Patel,"['49', '76', '11', '2', '157.14']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",77
6th Match (N),Faf du Plessis (c),Rabada,"['7', '13', '0', '0', '42.85']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",3
6th Match (N),Cameron Green ,Rabada,"['5', '9', '0', '0', '60.00']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",3
6th Match (N),Rajat Patidar ,Harpreet Brar,"['18', '23', '1', '1', '100.00']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",18
6th Match (N),Glenn Maxwell ,Harpreet Brar,"['5', '8', '0', '0', '60.00']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",3
6th Match (N),Anuj Rawat †,Curran,"['14', '20', '1', '0', '78.57']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",11
6th Match (N),Dinesh Karthik , - ,"['10', '22', '3', '2', '280.00']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",28
6th Match (N),Mahipal Lomror , - ,"['8', '18', '2', '1', '212.50']",Royal Challengers Bengaluru,Punjab Kings, March 25 2024, Bengaluru,RCB won by 4 wickets (with 4 balls remaining),"Royal Challengers Bengaluru, elected to field first",17
