id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
9th Match (N),Yashasvi Jaiswal ,Mukesh Kumar,"['7', '11', '1', '0', '71.42']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",5
9th Match (N),Jos Buttler ,Kuldeep Yadav,"['16', '43', '0', '0', '68.75']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",11
9th Match (N),Sanju Samson (c)†,Ahmed,"['14', '19', '3', '0', '107.14']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",15
9th Match (N),Riyan Parag ,Patel,"['45', '73', '7', '6', '186.66']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",84
9th Match (N),Ravichandran Ashwin ,Nortje,"['19', '24', '0', '3', '152.63']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",29
9th Match (N),Dhruv Jurel , - ,"['12', '19', '3', '0', '166.66']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",20
9th Match (N),Shimron Hetmyer , - ,"['7', '16', '1', '1', '200.00']",Rajasthan Royals,Delhi Capitals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",14
9th Match (N),David Warner ,Avesh Khan,"['34', '55', '5', '3', '144.11']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",49
9th Match (N),Mitchell Marsh ,Burger,"['12', '17', '5', '0', '191.66']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",23
9th Match (N),Ricky Bhui ,Burger,"['2', '3', '0', '0', '0.00']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",0
9th Match (N),Rishabh Pant (c)†,Chahal,"['26', '42', '2', '1', '107.69']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",28
9th Match (N),Tristan Stubbs ,Chahal,"['23', '44', '2', '3', '191.30']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",44
9th Match (N),Abishek Porel , - ,"['10', '10', '0', '0', '90.00']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",9
9th Match (N),Axar Patel , - ,"['13', '23', '1', '0', '115.38']",Delhi Capitals,Rajasthan Royals, March 28 2024, Jaipur,RR won by 12 runs,"Delhi Capitals, elected to field first",15
